context,response,dim0,dim1,label
湯川先輩、お疲れ様です！！😀 [SEP] 清水君、お疲れ様です！,そういえば、この前週末は暇だって言ってましたよね？,-9.67949829,-1.11439105,57
そういえば、この前週末は暇だって言ってましたよね？ [SEP] そうだね、暇してるよ,実は今週末オンライン飲み会をするんです,2.69689328,-6.78587071,29
実は今週末オンライン飲み会をするんです [SEP] ほお、そうなんだ,湯川さんにも参加して欲しいのですが、どうでしょうか？,-5.37035567,4.79623388,4
湯川さんにも参加して欲しいのですが、どうでしょうか？ [SEP] 誰が参加するの？,今のところ、佐藤と鈴木と高橋と渡辺と小林が参加してくれるみたいです,-1.43039258,-5.43093898,21
今のところ、佐藤と鈴木と高橋と渡辺と小林が参加してくれるみたいです [SEP] なるほど、全員後輩かあ,でも実際仲良くしてもらってますし、同期のみんなから誘ってはどうかと意見が上がったんです,7.82100548,-1.43524082,2
でも実際仲良くしてもらってますし、同期のみんなから誘ってはどうかと意見が上がったんです [SEP] それはうれしいけど、俺だけ先輩って参加しづらいな,そうですよね。。。でも、いつもみたいなプライベートと思ってもらえれば,3.09138555,4.7101245,3
そうですよね。。。でも、いつもみたいなプライベートと思ってもらえれば [SEP] プライベートでも参加しにくいなあ,そうですか。。。そういえば前回のオンラインの部署飲みは、お酒とか自分で用意したじゃないですか？,8.8941847,-1.97853054,6
そうですか。。。そういえば前回のオンラインの部署飲みは、お酒とか自分で用意したじゃないですか？ [SEP] うん、用意したね,今回お酒とかつまみを宅配してくれるサービスを使ってみるんです！,-3.76642089,6.02371267,36
今回お酒とかつまみを宅配してくれるサービスを使ってみるんです！ [SEP] それは楽そうだね,そうなんです。食べ物を共有できるので楽しくなるはずですよ,-0.90623563,4.29854755,19
そうなんです。食べ物を共有できるので楽しくなるはずですよ [SEP] でも今回は参加しないかな,そうですか。。。何か問題でもありましたか。。。？,-1.5072706,5.3899132,33
そうですか。。。何か問題でもありましたか。。。？ [SEP] 参加メンバーが少しね…,そうですね、僕の同期ばかりですもんね。,-11.74442926,5.73688589,25
湯川先輩、お疲れ様です！！😀 [SEP] お疲れ様、どうかした？,週末に同期とオンライン飲み会とやる予定なんですが、参加しませんか？,-6.76676909,-2.58697292,0
週末に同期とオンライン飲み会とやる予定なんですが、参加しませんか？ [SEP] そうだねぇ、同期の中でも誰がくるの？,佐藤、鈴木、高橋、渡辺、小林がきます！,0.79340031,-3.21572773,34
