context,response,dim0,dim1,label
清水君、お疲れ様です！,そういえば、この前週末は暇だって言ってましたよね？,8.96542586,-5.26871391,15
そうだね、暇してるよ,実は今週末オンライン飲み会をするんです,3.47536614,-6.92052424,35
ほお、そうなんだ,湯川さんにも参加して欲しいのですが、どうでしょうか？,3.21378725,-8.93224328,12
誰が参加するの？,今のところ、佐藤と鈴木と高橋と渡辺と小林が参加してくれるみたいです,2.03976727,2.41328366,24
なるほど、全員後輩かあ,でも実際仲良くしてもらってますし、同期のみんなから誘ってはどうかと意見が上がったんです,-5.09550339,1.65785717,11
それはうれしいけど、俺だけ先輩って参加しづらいな,そうですよね。。。でも、いつもみたいなプライベートと思ってもらえれば,1.63469965,-9.05307279,22
プライベートでも参加しにくいなあ,そうですか。。。そういえば前回のオンラインの部署飲みは、お酒とか自分で用意したじゃないですか？,-7.32485352,5.58417212,17
うん、用意したね,今回お酒とかつまみを宅配してくれるサービスを使ってみるんです！,4.94036017,-7.15771487,30
それは楽そうだね,そうなんです。食べ物を共有できるので楽しくなるはずですよ,4.25436673,-6.8777445,14
でも今回は参加しないかな,そうですか。。。何か問題でもありましたか。。。？,2.65747587,-10.55320682,41
参加メンバーが少しね…,そうですね、僕の同期ばかりですもんね。,5.470569,-13.9415037,43
お疲れ様、どうかした？,週末に同期とオンライン飲み会とやる予定なんですが、参加しませんか？,8.07000739,1.60856727,3
そうだねぇ、同期の中でも誰がくるの？,佐藤、鈴木、高橋、渡辺、小林がきます！,-0.27663263,5.28926498,47
なるほどね、その5人はもう確定したの？,確定しましたね,-0.51854127,4.60730074,21
他には誰か誘ってた？,いえ、このメンバーしか誘ってません,4.48211122,0.69502296,42
あ、じゃあ完全に清水君の同期の飲み会なのか,湯川さん以外は同期ですね,1.83203168,-11.43661408,20
そうかぁ、ちょっと参加は申し訳ない気持ちになるなぁ,同期もみんな湯川さんを誘いたいって言ってましたよ,6.46918778,-13.46383417,56
ほんとに？,はい！言ってました！,6.1592394,-0.20866097,23
嬉しいけど、やっぱり同期だけで飲み会した方が楽しいと思うよ,いやあ、湯川さんがいた方が盛り上がりますよ！,-6.0939985,10.46762335,58
そうかなぁ、後輩の前では盛り上がりにくいなぁ,ええー、後輩と飲んでも楽しくないですか？,6.73943323,-13.67946034,56
楽しいと思うけど、後輩しかいないんだよ？,湯川さん、同期から人気なんで大丈夫ですよ！,-5.07519401,7.49131889,37
それは嬉しいね！でも今回は遠慮しようかな,オンライン宅配サービスも使おうと思ってます,3.83357269,-11.76352324,17
そうなんだぁ、楽しくなりそうだね,オンラインでご飯とか届けてくれるんですけど興味ないですか？,3.99339639,-7.78557534,41
興味は確かにあるね,ですよね！僕ら年も近いし話も合うと思うんですよ,4.49771439,-6.22373822,26
うん、でも次の機会に参加させてもらおうかな,週末に暇だって言ってたじゃないですかー,2.97462342,-10.93218978,2
お疲れさま！,今週末にオンライン飲み会するのですが、どうですか？,9.62493066,-4.45768569,15
いいね！面白そう！,参加していただけますか？,10.69403042,-5.28042331,12
ちなみにどんなメンバーで飲むの？,みんな同期で、今は佐藤、鈴木、高橋、渡辺、小林が参加できるそうです,2.80874929,6.20451457,44
なるほど！せっかくの同期の集まりに俺がいたら邪魔じゃない？,いいえ、実は同期のみんなが湯川さんを誘おうと言い出したんですよ,0.06213623,0.23767315,8
